estado,ciudad,coordenadas
Aguascalientes,Aguascalientes,"21.91350375264395, -102.29531720470844"
Baja California ,Tijuana,"32.49474400026095, -116.94692024909172"
Baja California Sur,La Paz,"24.1271092193078, -110.3307038550387"
Campeche,Campeche,"19.84188527351779, -90.53320367292051"
Chiapas,Tuxtla Gutiérrez,"16.74342132425459, -93.06736080161691"
Chihuahua,Chihuahua,"28.633792058657423, -106.02265834854359"
Coahuila,Torreón,"25.552699389534492, -103.42658152314198"
Colima,Colima,"19.24092986885469, -103.72211424574733"
Distrito Federal,Iztapalapa,"19.37902097709366, -99.08788770341542"
Durango,Durango,"24.038380681157346, -104.63030213584248"
Guanajuato,León,"21.07160912889384, -101.68418648988614"
Guerrero,Acapulco,"16.907536500667252, -99.82665406302172"
Hidalgo,Pachuca,"20.105167961561673, -98.75222400155201"
Jalisco,Guadalajara,"20.656438978529835, -103.38199954873981"
México,Toluca,"19.344192571914714, -99.59941224219426"
Michoacán,Morelia,"19.716394739405875, -101.1675941644991"
Morelos,Cuernavaca,"18.92588394542484, -99.23232118993099"
Nayarit,Tepic,"21.475106929976683, -104.8578806783165"
Nuevo León,San Nicolás de los Garza,"25.712082350608664, -100.29374657628011"
Oaxaca,Oaxaca,"17.059371798231126, -96.73331077229595"
Puebla,Puebla,"19.086742782672502, -98.18937511373163"
Querétaro,Querétaro,"20.57002041039554, -100.37593640392917"
Quintana Roo,Chetumal,"18.50352489991703, -88.29692469366324"
San Luis Potosí,San Luis Potosí,"22.141187217276954, -100.9222457191597"
Sinaloa,Culiacán,"24.771112750755233, -107.36596175541744"
Sonora,Hermosilla,"29.113207302301678, -110.99389547433611"
Tabasco,Villahermosa,"17.991736396134936, -92.96622739364594"
Tamaulipas,Reynosa,"26.044514401583342, -98.31468258791637"
Veracruz,Xalapa,"19.515594449435063, -96.85370727436812"
Yucatán,Mérida,"20.986088896233536, -89.66443971018552"
Zacatecas,Zacatecas,"22.772159247783705, -102.59568433198456"
